Statistical profiling result from isolate-0x148008000-26156-v8.log, (11192 ticks, 5014 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   5014   44.8%  UNKNOWN
    785   15.7%    JS: ~parseError /Users/andris/Projects/email-text-tools/node_modules/rrweb-cssom/lib/parse.js:60:27
    753   95.9%      JS: *parse /Users/andris/Projects/email-text-tools/node_modules/rrweb-cssom/lib/parse.js:9:29
    738   98.0%        JS: *set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:196:19
    738  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
    403   54.6%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
    292   39.6%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLAnchorElement-impl.js:37:16
     35    4.7%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLImageElement-impl.js:14:16
     15    2.0%        JS: ^set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:196:19
     15  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      5   33.3%            JS: ^_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      5   33.3%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      5   33.3%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLAnchorElement-impl.js:37:16
     31    3.9%      JS: ^parse /Users/andris/Projects/email-text-tools/node_modules/rrweb-cssom/lib/parse.js:9:29
     25   80.6%        JS: ^set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:196:19
     25  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     10   40.0%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLAnchorElement-impl.js:37:16
      9   36.0%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      6   24.0%            JS: ^_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      5   16.1%        JS: *set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:196:19
      5  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      3   60.0%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      2   40.0%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLAnchorElement-impl.js:37:16
      1    3.2%        JS: ~set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:196:19
      1  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      1  100.0%            JS: ^_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
    256    5.1%    JS: ^wrapSafe node:internal/modules/cjs/loader:1347:18
    256  100.0%      JS: ^Module._compile node:internal/modules/cjs/loader:1409:37
    256  100.0%        JS: ^Module._extensions..js node:internal/modules/cjs/loader:1502:37
    256  100.0%          JS: ^Module.load node:internal/modules/cjs/loader:1275:33
    256  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:1016:24
    138    2.8%    Builtin: RegExpPrototypeExec
    107   77.5%      JS: *escape /Users/andris/Projects/email-text-tools/node_modules/entities/lib/escape.js:75:27
    107  100.0%        JS: ^serializeTextNode /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:156:27
    107  100.0%          JS: ^serializeNode /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:103:23
    107  100.0%            JS: ^serializeChildNodes /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:87:29
     30   21.7%      JS: ^escape /Users/andris/Projects/email-text-tools/node_modules/entities/lib/escape.js:75:27
     29   96.7%        JS: ^serializeTextNode /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:156:27
     29  100.0%          JS: ^serializeNode /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:103:23
     29  100.0%            JS: ^serializeChildNodes /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:87:29
      1    3.3%        JS: ~serializeAttributes /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:123:29
      1  100.0%          JS: ~serializeElement /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:119:26
      1  100.0%            JS: ^serializeNode /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/serializer/index.js:103:23
    125    2.5%    JS: ^readFileSync node:fs:441:22
    120   96.0%      JS: ^getMaybeCachedSource node:internal/modules/cjs/loader:1483:30
    115   95.8%        JS: ^Module._extensions..js node:internal/modules/cjs/loader:1502:37
